title,event_url,image_url,status,production_type,date_time,origin,market_presence,age_of_production
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,14 September 2025 - 5:00 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,28 October 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,29 October 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,30 October 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,30 October 2025 - 9:00 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,1 November 2025 - 5:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,1 November 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,2 November 2025 - 5:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,2 November 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,4 November 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,5 November 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,6 November 2025 - 7:30 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,6 November 2025 - 9:00 pm,N/A,N/A,N/A
Daniel Sloss: Work In Progress,https://ci.ovationtix.com/35583/production/1236104,https://web.ovationtix.com/trs/api/rest/ClientFile(568760),upcoming,N/A,7 November 2025 - 7:30 pm,N/A,N/A,N/A
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,https://web.ovationtix.com/trs/api/rest/ClientFile(571345),upcoming,N/A,5 November 2025 - 9:00 pm,N/A,N/A,N/A
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,https://web.ovationtix.com/trs/api/rest/ClientFile(571345),upcoming,N/A,6 November 2025 - 9:00 pm,N/A,N/A,N/A
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,https://web.ovationtix.com/trs/api/rest/ClientFile(571345),upcoming,N/A,7 November 2025 - 9:00 pm,N/A,N/A,N/A
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,https://web.ovationtix.com/trs/api/rest/ClientFile(571345),upcoming,N/A,8 November 2025 - 9:00 pm,N/A,N/A,N/A
Connor Burns: GALLUS,https://ci.ovationtix.com/35583/production/1238279,https://web.ovationtix.com/trs/api/rest/ClientFile(571345),upcoming,N/A,9 November 2025 - 5:30 pm,N/A,N/A,N/A
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,https://web.ovationtix.com/trs/api/rest/ClientFile(575358),upcoming,N/A,18 November 2025 - 7:00 pm,N/A,N/A,N/A
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,https://web.ovationtix.com/trs/api/rest/ClientFile(575358),upcoming,N/A,19 November 2025 - 7:00 pm,N/A,N/A,N/A
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,https://web.ovationtix.com/trs/api/rest/ClientFile(575358),upcoming,N/A,20 November 2025 - 7:00 pm,N/A,N/A,N/A
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,https://web.ovationtix.com/trs/api/rest/ClientFile(575358),upcoming,N/A,21 November 2025 - 7:00 pm,N/A,N/A,N/A
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,https://web.ovationtix.com/trs/api/rest/ClientFile(575358),upcoming,N/A,22 November 2025 - 7:00 pm,N/A,N/A,N/A
On I Bang (a story about brain surgery),https://ci.ovationtix.com/35583/production/1242783,https://web.ovationtix.com/trs/api/rest/ClientFile(575358),upcoming,N/A,23 November 2025 - 5:00 pm,N/A,N/A,N/A
